Código,Produto,Categoria,Unidade,Estoque Maximo,Estoque Minimo,Necessidade,Saldo,Custo do Produto,Valor de Venda,Obs. Saldo,Lucro Previsto,R$ Total
499,Pretinho - 500ml,LIMPEZA,UN,10,1,0,11,"3,00","3,00",Saldo Excedendo o permitido!,"0,00 %","33,00"
500,Sabao pedra - unid,LIMPEZA,UN,100,35,13,22,"2,40","2,40",Saldo Menor que o permitido!,"0,00 %","52,80"
501,Sabao po,LIMPEZA,UN,100,26,0,88,"3,00","3,00",sem observacao,"0,00 %","264,00"
502,Sabonete Liquido-5l,LIMPEZA,UN,5,1,0,1,"20,00","20,00",sem observacao,"0,00 %","20,00"
489,Sache Sabonete - 50,LIMPEZA,UN,20,6,0,8,"20,00","20,00",sem observacao,"0,00 %","160,00"
490,Sache Shampoo - 50,LIMPEZA,UN,20,4,1,3,"24,00","24,00",Saldo Menor que o permitido!,"0,00 %","72,00"
503,Saco lixo 100L -unid,LIMPEZA,UN,500,66,0,173,"0,35","0,35",sem observacao,"0,00 %","60,55"
504,Saco lixo 15L- pac,LIMPEZA,UN,20,6,5,1,"7,00","7,00",Saldo Menor que o permitido!,"0,00 %","7,00"
506,Silicone - 500ml,LIMPEZA,UN,10,1,0,2,"10,00","10,00",sem observacao,"0,00 %","20,00"
510,VAR - Cabo,LIMPEZA,UN,24,2,0,26,"1,00","1,00",Saldo Excedendo o permitido!,"0,00 %","26,00"
512,VAR - Ciscador plástico,LIMPEZA,UN,3,0,0,2,"15,00","15,00",sem observacao,"0,00 %","30,00"
Totais:,,,,,,,1681,,"3.624,45",,,
1130,VAR - Escova mamadeira,LIMPEZA,UN,2,1,0,1,"6,00","6,00",sem observacao,"0,00 %","6,00"
683,VAR - Escova pia,LIMPEZA,UN,2,1,0,3,"6,00","6,00",Saldo Excedendo o permitido!,"0,00 %","18,00"
682,VAR - Escova sapato,LIMPEZA,UN,5,1,0,3,"5,00","5,00",sem observacao,"0,00 %","15,00"
584,VAR - MOP,LIMPEZA,UN,2,0,0,2,"15,00","15,00",sem observacao,"0,00 %","30,00"
514,VAR - Pá,LIMPEZA,UN,12,1,0,8,"1,20","1,20",sem observacao,"0,00 %","9,60"
515,VAR - Rodo,LIMPEZA,UN,12,1,0,4,"1,50","1,50",sem observacao,"0,00 %","6,00"
516,VAR - Vassoura,LIMPEZA,UN,24,2,1,1,"3,50","3,50",Saldo Menor que o permitido!,"0,00 %","3,50"
517,VAR - Vassourão,LIMPEZA,UN,1,0,0,1,"3,50","3,50",sem observacao,"0,00 %","3,50"
507,z Papel Higiênico - rolo,LIMPEZA,UN,480,240,148,92,"1,00","1,00",Saldo Menor que o permitido!,"0,00 %","92,00"
508,z Papel Higiênico Big,LIMPEZA,UN,60,12,8,4,"8,50","8,50",Saldo Menor que o permitido!,"0,00 %","34,00"
509,z Papel Toalha-pct,LIMPEZA,UN,110,40,0,149,"4,00","4,00",Saldo Excedendo o permitido!,"0,00 %","596,00"
