Código,Produto,Categoria,Valor
872,PORÇÃO PÃO,XJANTAR,"R$8,00"
873,PORÇÃO QUEIJO,XJANTAR,"R$45,00"
946,PRESILHA,DECORAÇÃO,"R$0,00"
787,PRESUNTO,XCafé da Manhã,"R$0,00"
274,PRODUTO ASINHA,BAR PRODUTOS,"R$28,00"
216,PRODUTO BACON,BAR PRODUTOS,"R$4,00"
275,PRODUTO BATATA,BAR PRODUTOS,"R$13,00"
920,PRODUTO BOLINHO DE CHARQUE,BAR PRODUTOS,"R$12,00"
276,PRODUTO BOLINHO DE QUEIJO,BAR PRODUTOS,"R$12,00"
205,PRODUTO CALABRESA,BAR PRODUTOS,"R$11,00"
835,PRODUTO CALDINHO DE CAMARÃO,BAR PRODUTOS,"R$9,00"
895,PRODUTO CALDINHO DE CHARQUE,BAR PRODUTOS,"R$9,00"
279,PRODUTO CALDINHO DE FEIJÃO,BAR PRODUTOS,"R$9,00"
278,PRODUTO CALDINHO DE PEIXE,BAR PRODUTOS,"R$9,00"
896,PRODUTO CALDO VERDE,BAR PRODUTOS,"R$9,00"
280,PRODUTO CAMARÃO ALHO E ÓLEO,BAR PRODUTOS,"R$40,00"
206,PRODUTO CARNE DE SOL,BAR PRODUTOS,"R$26,00"
207,PRODUTO COSTELA,BAR PRODUTOS,"R$26,00"
281,PRODUTO COXINHA,BAR PRODUTOS,"R$12,00"
571,PRODUTO CROQUETE COSTELA,BAR PRODUTOS,"R$0,00"
277,PRODUTO CROQUETE CUPIM,BAR PRODUTOS,"R$0,00"
570,PRODUTO CROQUETE CUPIM,BAR PRODUTOS,"R$0,00"
208,PRODUTO CUPIM,BAR PRODUTOS,"R$35,00"
282,PRODUTO ISCA DE FRANGO,BAR PRODUTOS,"R$26,00"
283,PRODUTO MACAXEIRA FRITA,BAR PRODUTOS,"R$13,00"
284,PRODUTO PEIXE POSTA,BAR PRODUTOS,"R$32,00"
729,PRODUTO Rolinho de queijo,BAR PRODUTOS,"R$0,00"
254,PRODUTO SAIDA TESTE (ALEX),PRODUTO EXECUTIVO,"R$0,00"
718,PRODUTO TAÇAS ALDEIA DOS CAMARAS,EXTRAS,"R$15,00"
753,PRODUTO TEST NOVA IMP,DIVERSOS,"R$0,00"
